Team1,Team1_Score,Team2_Score,Team2,Year
EHOME,1,0,TYLOO,2011
Meet Your Makers,0,1,Scythe Gaming,2011
EHOME,0,1,Scythe Gaming,2011
OK.Nirvana.int,0,1,Invictus Gaming,2011
Natus Vincere,1,0,Moscow Five,2011
Invictus Gaming,0,1,Natus Vincere,2011
Scythe Gaming,0,2,Natus Vincere,2011
Storm Games Clan,0,1,Virus Gaming,2011
Meet Your Makers,1,0,Virus Gaming,2011
MiTH,1,0,GosuGamers,2011
TYLOO,0,1,MiTH,2011
Meet Your Makers,1,0,MiTH,2011
Invictus Gaming,0,1,Meet Your Makers,2011
OK.Nirvana.cn,0,1,Mineski,2011
Moscow Five,1,0,Mineski,2011
Next Evolution,0,1,MUFC,2011
OK.Nirvana.int,1,0,MUFC,2011
Moscow Five,1,0,OK.Nirvana.int,2011
EHOME,1,0,Moscow Five,2011
Meet Your Makers,0,2,EHOME,2011
Scythe Gaming,1,2,EHOME,2011
Natus Vincere,3,1,EHOME,2011
LGD Gaming,2,0,Orange Esports,2012
compLexity,1,2,Team Zenith,2012
LGD Gaming,2,0,Team Zenith,2012
Invictus Gaming,2,1,Evil Geniuses,2012
Team DK,1,2,Natus Vincere,2012
Invictus Gaming,1,2,Natus Vincere,2012
LGD Gaming,1,2,Natus Vincere,2012
CLG,1,0,Mortal Teamwork,2012
Orange Esports,1,0,CLG,2012
mousesports,0,1,EHOME,2012
compLexity,0,1,EHOME,2012
Orange Esports,0,1,EHOME,2012
Invictus Gaming,1,0,EHOME,2012
TongFu,1,0,Moscow Five,2012
Evil Geniuses,0,1,TongFu,2012
Darer,1,0,Absolute Legends,2012
Team DK,1,0,Darer,2012
TongFu,0,1,Team DK,2012
Team Zenith,0,1,Team DK,2012
Invictus Gaming,2,1,Team DK,2012
LGD Gaming,1,2,Invictus Gaming,2012
Natus Vincere,1,3,Invictus Gaming,2012
Natus Vincere,2,1,Orange Esports,2013
TongFu,2,0,Fnatic,2013
Natus Vincere,2,1,TongFu,2013
Alliance,2,0,LGD Gaming,2013
Team DK,2,1,Invictus Gaming,2013
Alliance,2,1,Team DK,2013
Natus Vincere,0,2,Alliance,2013
Team Dignitas,1,0,RattleSnake,2013
Orange Esports,1,0,Team Dignitas,2013
LGD International,1,0,mousesports,2013
Fnatic,1,0,LGD International,2013
Orange Esports,1,0,Fnatic,2013
Team DK,1,2,Orange Esports,2013
Team Liquid,1,0,MUFC,2013
LGD Gaming,0,1,Team Liquid,2013
