Team_Name,Games_Won,Year
EHOME,1,2011
TYLOO,0,2011
Meet Your Makers,0,2011
Scythe Gaming,1,2011
EHOME,0,2011
Scythe Gaming,1,2011
OK.Nirvana.int,0,2011
Invictus Gaming,1,2011
Natus Vincere,1,2011
Moscow Five,0,2011
Invictus Gaming,0,2011
Natus Vincere,1,2011
Scythe Gaming,0,2011
Natus Vincere,2,2011
Storm Games Clan,0,2011
Virus Gaming,1,2011
Meet Your Makers,1,2011
Virus Gaming,0,2011
MiTH,1,2011
GosuGamers,0,2011
TYLOO,0,2011
MiTH,1,2011
Meet Your Makers,1,2011
MiTH,0,2011
Invictus Gaming,0,2011
Meet Your Makers,1,2011
OK.Nirvana.cn,0,2011
Mineski,1,2011
Moscow Five,1,2011
Mineski,0,2011
Next Evolution,0,2011
MUFC,1,2011
OK.Nirvana.int,1,2011
MUFC,0,2011
Moscow Five,1,2011
OK.Nirvana.int,0,2011
EHOME,1,2011
Moscow Five,0,2011
Meet Your Makers,0,2011
EHOME,2,2011
Scythe Gaming,1,2011
EHOME,2,2011
Natus Vincere,3,2011
EHOME,1,2011
LGD Gaming,2,2012
Orange Esports,0,2012
compLexity,1,2012
Team Zenith,2,2012
LGD Gaming,2,2012
Team Zenith,0,2012
Invictus Gaming,2,2012
Evil Geniuses,1,2012
Team DK,1,2012
Natus Vincere,2,2012
Invictus Gaming,1,2012
Natus Vincere,2,2012
LGD Gaming,1,2012
Natus Vincere,2,2012
CLG,1,2012
Mortal Teamwork,0,2012
Orange Esports,1,2012
CLG,0,2012
mousesports,0,2012
EHOME,1,2012
compLexity,0,2012
EHOME,1,2012
Orange Esports,0,2012
EHOME,1,2012
Invictus Gaming,1,2012
EHOME,0,2012
TongFu,1,2012
Moscow Five,0,2012
Evil Geniuses,0,2012
TongFu,1,2012
Darer,1,2012
Absolute Legends,0,2012
Team DK,1,2012
Darer,0,2012
TongFu,0,2012
Team DK,1,2012
Team Zenith,0,2012
Team DK,1,2012
Invictus Gaming,2,2012
Team DK,1,2012
LGD Gaming,1,2012
Invictus Gaming,2,2012
Natus Vincere,1,2012
Invictus Gaming,3,2012
Natus Vincere,2,2013
Orange Esports,1,2013
TongFu,2,2013
Fnatic,0,2013
Natus Vincere,2,2013
TongFu,1,2013
Alliance,2,2013
LGD Gaming,0,2013
Team DK,2,2013
Invictus Gaming,1,2013
Alliance,2,2013
Team DK,1,2013
Natus Vincere,0,2013
Alliance,2,2013
Team Dignitas,1,2013
RattleSnake,0,2013
Orange Esports,1,2013
Team Dignitas,0,2013
LGD International,1,2013
mousesports,0,2013
Fnatic,1,2013
LGD International,0,2013
Orange Esports,1,2013
Fnatic,0,2013
Team DK,1,2013
Orange Esports,2,2013
Team Liquid,1,2013
MUFC,0,2013
